Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"996509912",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,record,timestamp,1,,altitude,1,,speed,1,,vertical_speed,1,,,,,,,,,,,
Definition,5,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,6,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,1,record,timestamp,"996507373",s,position_lat,"640236665",semicircles,position_long,"-12109047",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507375",s,position_lat,"640234744",semicircles,position_long,"-12108594",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507377",s,position_lat,"640232728",semicircles,position_long,"-12108140",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507379",s,position_lat,"640230676",semicircles,position_long,"-12107556",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"996507381",s,position_lat,"640228743",semicircles,position_long,"-12107198",semicircles,distance,"348.0",m,altitude,"9.0",m,speed,"9.13",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"9.13",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507383",s,position_lat,"640226798",semicircles,position_long,"-12106816",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507386",s,position_lat,"640224865",semicircles,position_long,"-12106446",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507388",s,position_lat,"640222825",semicircles,position_long,"-12106088",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507389",s,position_lat,"640221728",semicircles,position_long,"-12105909",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507390",s,position_lat,"640220630",semicircles,position_long,"-12105695",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"996507391",s,position_lat,"640218459",semicircles,position_long,"-12105194",semicircles,distance,"453.0",m,altitude,"9.0",m,speed,"9.13",m/s,vertical_speed,"0.05",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"9.13",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507393",s,position_lat,"640216466",semicircles,position_long,"-12104788",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507395",s,position_lat,"640214677",semicircles,position_long,"-12104370",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507397",s,position_lat,"640213126",semicircles,position_long,"-12103678",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507399",s,position_lat,"640211909",semicircles,position_long,"-12102843",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507401",s,distance,"526.0",m,altitude,"9.0",m,speed,"8.83",m/s,vertical_speed,"0.03",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"8.83",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507403",s,position_lat,"640211563",semicircles,position_long,"-12100970",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507411",s,distance,"537.0",m,altitude,"9.0",m,speed,"5.12",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"5.12",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507412",s,position_lat,"640212887",semicircles,position_long,"-12100934",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507416",s,position_lat,"640214355",semicircles,position_long,"-12101376",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507419",s,position_lat,"640215900",semicircles,position_long,"-12101654",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507421",s,distance,"578.0",m,altitude,"9.0",m,speed,"2.97",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"2.97",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507424",s,position_lat,"640217081",semicircles,position_long,"-12102095",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507430",s,position_lat,"640218262",semicircles,position_long,"-12102835",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"996507431",s,distance,"601.0",m,altitude,"9.0",m,speed,"2.52",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"9.0",m,enhanced_speed,"2.52",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"996507435",s,position_lat,"640219491",semicircles,position_long,"-12103646",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"996507441",s,position_lat,"640220732",semicircles,position_long,"-12104111",semicircles,distance,"613.0",m,altitude,"10.0",m,speed,"2.13",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"10.0",m,enhanced_speed,"2.13",m/s,,,,,,,,,,,,,,,,
