Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,
Definition,0,file_id,type,1,,time_created,1,,manufacturer,1,,product,1,,product_name,20,,
Data,0,file_id,type,"4",,time_created,"1004259477",,manufacturer,"23",,product,"23",,product_name,"Suunto Ambit3 Sport",,
Definition,1,record,timestamp,1,,position_lat,1,,position_long,1,,,,,,,,
Definition,2,record,timestamp,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,3,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,altitude,1,,speed,1,,vertical_speed,1,,
Definition,4,event,event,1,,timestamp,1,,event_type,1,,data,1,,,,,,,,,,,
Definition,5,session,timestamp,1,,start_time,1,,event,1,,event_type,1,,sport,1,,avg_speed,1,,max_speed,1,,total_timer_time,1,,total_elapsed_time,1,,total_distance,1,,max_altitude,1,,min_altitude,1,,total_ascent,1,,total_descent,1,,
Data,2,record,timestamp,"1004253650",s,distance,"309.0",m,altitude,"6.0",m,speed,"0.38",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"0.38",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253653",s,position_lat,"640254922",semicircles,position_long,"-12098073",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253656",s,position_lat,"640255220",semicircles,position_long,"-12100006",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253659",s,position_lat,"640255795",semicircles,position_long,"-12102205",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253660",s,distance,"344.0",m,altitude,"6.0",m,speed,"3.47",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"3.47",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253662",s,position_lat,"640256606",semicircles,position_long,"-12104436",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253667",s,position_lat,"640257048",semicircles,position_long,"-12106357",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253670",s,distance,"370.0",m,altitude,"6.0",m,speed,"2.92",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"2.92",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253671",s,position_lat,"640257310",semicircles,position_long,"-12108134",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253676",s,position_lat,"640257644",semicircles,position_long,"-12110055",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253680",s,distance,"391.0",m,altitude,"6.0",m,speed,"2.38",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"2.38",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253681",s,position_lat,"640258157",semicircles,position_long,"-12111725",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253686",s,position_lat,"640258718",semicircles,position_long,"-12113682",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,record,timestamp,"1004253690",s,position_lat,"640259124",semicircles,position_long,"-12115770",semicircles,distance,"414.0",m,altitude,"6.0",m,speed,"2.41",m/s,vertical_speed,"0.01",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"2.41",m/s,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253694",s,position_lat,"640259637",semicircles,position_long,"-12117524",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253700",s,distance,"437.0",m,altitude,"6.0",m,speed,"2.41",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"2.41",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253710",s,distance,"437.0",m,altitude,"5.0",m,speed,"2.25",m/s,vertical_speed,"0.0",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"2.25",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253714",s,position_lat,"640258670",semicircles,position_long,"-12116510",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253719",s,position_lat,"640258119",semicircles,position_long,"-12114935",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253720",s,distance,"457.0",m,altitude,"5.0",m,speed,"1.69",m/s,vertical_speed,"-0.03",m/s,enhanced_altitude,"5.0",m,enhanced_speed,"1.69",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253725",s,position_lat,"640257702",semicircles,position_long,"-12112978",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,record,timestamp,"1004253730",s,distance,"469.0",m,altitude,"6.0",m,speed,"1.87",m/s,vertical_speed,"-0.01",m/s,enhanced_altitude,"6.0",m,enhanced_speed,"1.87",m/s,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253731",s,position_lat,"640257260",semicircles,position_long,"-12111022",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,record,timestamp,"1004253736",s,position_lat,"640256807",semicircles,position_long,"-12109268",semicircles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
